ci,mcc,mnc,tac,lat,lon,range
133541269,310,410,28170,-1.0,-1.0,-1.0
133673744,310,410,28170,33.508251,-97.813115,1000.0
133673744,310,410,28170,33.508251,-97.813115,1000.0
133541135,310,410,28170,33.502936,-97.809678,1000.0
133541128,310,410,28170,33.472215,-97.788966,3389.0
133541137,310,410,28170,-1.0,-1.0,-1.0
133541337,310,410,28170,-1.0,-1.0,-1.0
133541336,310,410,28170,-1.0,-1.0,-1.0
133541143,310,410,28170,33.429276,-97.755219,1000.0
133514262,310,410,28170,-1.0,-1.0,-1.0
135340822,310,410,28170,-1.0,-1.0,-1.0
135104792,310,410,28170,-1.0,-1.0,-1.0
135340801,310,410,28170,33.3954,-97.731024,1000.0
135104771,310,410,28170,33.369575,-97.708508,3478.0
135104771,310,410,28170,33.369575,-97.708508,3478.0
135340801,310,410,28170,33.3954,-97.731024,1000.0
135104792,310,410,28170,-1.0,-1.0,-1.0
135340823,310,410,28170,-1.0,-1.0,-1.0
135340809,310,410,28170,-1.0,-1.0,-1.0
135340802,310,410,28170,-1.0,-1.0,-1.0
135104770,310,410,28170,33.318488,-97.66114,1172.0
135094785,310,410,28170,-1.0,-1.0,-1.0
135104777,310,410,28170,-1.0,-1.0,-1.0
133997832,310,410,28170,33.227732,-97.593291,1000.0
135094794,310,410,28170,33.334352,-97.673465,1000.0
135094793,310,410,28170,33.28355,-97.629181,1000.0
134775056,310,410,28170,-1.0,-1.0,-1.0
133665039,310,410,28170,33.238608,-97.599007,1000.0
133665173,310,410,28170,-1.0,-1.0,-1.0
133665174,310,410,28170,-1.0,-1.0,-1.0
133997973,310,410,28170,-1.0,-1.0,-1.0
133997975,310,410,28170,-1.0,-1.0,-1.0
133997847,310,410,28170,-1.0,-1.0,-1.0
133997974,310,410,28170,-1.0,-1.0,-1.0
133656215,310,410,28170,-1.0,-1.0,-1.0
10282134,310,410,28170,-1.0,-1.0,-1.0
133656214,310,410,28170,-1.0,-1.0,-1.0
133656214,310,410,28170,-1.0,-1.0,-1.0
134002071,310,410,28170,-1.0,-1.0,-1.0
134002069,310,410,28170,-1.0,-1.0,-1.0
135097352,310,410,28170,33.162285,-97.5261,1000.0
133582600,310,410,28170,33.173895,-97.541552,1000.0
135097353,310,410,28170,33.150013,-97.507835,1000.0
135097346,310,410,28170,33.140827,-97.498367,1000.0
134774422,310,410,28170,-1.0,-1.0,-1.0
134001557,310,410,28170,-1.0,-1.0,-1.0
133662613,310,410,27194,33.161226,-97.554842,19022.0
134001425,310,410,28170,-1.0,-1.0,-1.0
134001625,310,410,28170,-1.0,-1.0,-1.0
134001559,310,410,28170,-1.0,-1.0,-1.0
133659029,310,410,28170,-1.0,-1.0,-1.0
133318664,310,410,28170,33.078449,-97.471626,1000.0
133318666,310,410,28170,-1.0,-1.0,-1.0
133318665,310,410,28170,-1.0,-1.0,-1.0
133242120,310,410,27194,33.036859,-97.513674,12176.0
135650568,310,410,27194,33.047794,-97.475418,1000.0
133975057,310,410,28170,33.043982,-97.46228,1000.0
133658896,310,410,28170,33.04649,-97.472064,1000.0
133975055,310,410,28170,-1.0,-1.0,-1.0
133975189,310,410,28170,-1.0,-1.0,-1.0
133809161,310,410,28170,33.025012,-97.445198,1315.0
116564497,310,410,39177,37.124808,-112.09746,7722.0
116564495,310,410,39177,37.139065,-111.974472,1813.0
116564496,310,410,39177,37.123915,-111.958579,8067.0
116579755,310,410,39177,37.127425,-111.954262,1000.0
116565521,310,410,39177,-1.0,-1.0,-1.0
116579606,310,410,39177,-1.0,-1.0,-1.0
116565519,310,410,39177,-1.0,-1.0,-1.0
116565520,310,410,39177,37.017713,-111.590635,1000.0
116579756,310,410,39177,36.973148,-111.368302,16338.0
116579607,310,410,39177,36.954667,-111.423098,12736.0
123600301,310,410,33028,37.036061,-111.613807,814.0
123600331,310,410,33028,37.021011,-111.594229,1000.0
123558091,310,410,33028,-1.0,-1.0,-1.0
123558061,310,410,33028,36.960122,-111.468751,2297.0
123558060,310,410,33028,-1.0,-1.0,-1.0
123557911,310,410,33028,-1.0,-1.0,-1.0
123584713,310,410,33028,36.91613,-111.455948,1000.0
123583404,310,410,33028,-1.0,-1.0,-1.0
116579600,310,410,39177,-1.0,-1.0,-1.0
123584683,310,410,33028,36.942255,-111.4398,6406.0
123573264,310,410,33028,-1.0,-1.0,-1.0
123573257,310,410,33028,36.947708,-111.463799,1000.0
123584527,310,410,33028,-1.0,-1.0,-1.0
123573265,310,410,33028,-1.0,-1.0,-1.0
123584534,310,410,33028,36.916592,-111.456245,1000.0
123600330,310,410,33028,-1.0,-1.0,-1.0
123600300,310,410,33028,36.982449,-111.480225,1000.0
123584684,310,410,33028,-1.0,-1.0,-1.0
123584535,310,410,33028,-1.0,-1.0,-1.0
116562860,310,410,39177,-1.0,-1.0,-1.0
123558829,310,410,33028,-1.0,-1.0,-1.0
123578283,310,410,33028,-1.0,-1.0,-1.0
123583255,310,410,33028,-1.0,-1.0,-1.0
123584528,310,410,33028,-1.0,-1.0,-1.0
123559953,310,410,33028,-1.0,-1.0,-1.0
