"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","47003950100","TN","47003950100","=""47003950100""","60.41","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950201","TN","47003950201","=""47003950201""","75.10","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950202","TN","47003950202","=""47003950202""","101.90","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950300","TN","47003950300","=""47003950300""","36.84","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950401","TN","47003950401","=""47003950401""","310.66","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950402","TN","47003950402","=""47003950402""","325.55","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950500","TN","47003950500","=""47003950500""","601.13","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950600","TN","47003950600","=""47003950600""","654.77","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950700","TN","47003950700","=""47003950700""","58.93","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47003950800","TN","47003950800","=""47003950800""","36.48","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47005963000","TN","47005963000","=""47005963000""","25.81","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47005963100","TN","47005963100","=""47005963100""","60.50","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47005963200","TN","47005963200","=""47005963200""","18.39","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47005963300","TN","47005963300","=""47005963300""","508.86","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47005963400","TN","47005963400","=""47005963400""","40.51","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47007953000","TN","47007953000","=""47007953000""","35.66","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47007953101","TN","47007953101","=""47007953101""","29.43","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47007953102","TN","47007953102","=""47007953102""","66.42","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47007953200","TN","47007953200","=""47007953200""","27.93","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010100","TN","47009010100","=""47009010100""","1263.85","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010200","TN","47009010200","=""47009010200""","1119.57","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010301","TN","47009010301","=""47009010301""","818.25","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010302","TN","47009010302","=""47009010302""","423.14","2019-2023","2022","Census","Tennessee (State)"
