population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
1.0,7.0,-103.58180459077212,35.17258489644008,1204.9181050706527,1724263155262.0,6.0,-100,-13,-67,
1.0,7.0,-103.58180459077212,35.17258489644008,1204.9181050706527,1724263155262.0,6.0,-112,-15,-85,
1.0,7.0,-103.58180459077212,35.17258489644008,1204.9181050706527,1724263155262.0,6.0,-107,-12,-85,
1.0,7.0,-103.58139686568622,35.17259147459198,1204.3740069400133,1724263156268.0,7.0,-101,-15,-65,
1.0,7.0,-103.58139686568622,35.17259147459198,1204.3740069400133,1724263156268.0,7.0,-118,-13,-93,
1.0,7.0,-103.58139686568622,35.17259147459198,1204.3740069400133,1724263156268.0,7.0,-107,-12,-85,
1.0,7.0,-103.5809909620338,35.17259802335725,1203.832339463216,1724263157270.0,7.0,-101,-15,-65,
1.0,7.0,-103.5809909620338,35.17259802335725,1203.832339463216,1724263157270.0,7.0,-118,-13,-93,
1.0,7.0,-103.5809909620338,35.17259802335725,1203.832339463216,1724263157270.0,7.0,-107,-12,-85,
1.0,7.0,-103.5805837332534,35.172604593501866,1203.2889036388433,1724263158275.0,7.0,-99,-13,-63,
1.0,7.0,-103.5805837332534,35.172604593501866,1203.2889036388433,1724263158275.0,7.0,-113,-11,-93,
1.0,7.0,-103.5805837332534,35.172604593501866,1203.2889036388433,1724263158275.0,7.0,-105,-11,-85,
1.0,7.0,-103.58018328260856,35.17261152978012,1202.9627957546547,1724263159274.0,7.0,-99,-13,-63,
1.0,7.0,-103.58018328260856,35.17261152978012,1202.9627957546547,1724263159274.0,7.0,-113,-11,-93,
1.0,7.0,-103.58018328260856,35.17261152978012,1202.9627957546547,1724263159274.0,7.0,-105,-11,-85,
1.0,7.0,-103.57978755855734,35.17261905803751,1202.9357081900878,1724263160275.0,7.0,-100,-12,-69,
1.0,7.0,-103.57978755855734,35.17261905803751,1202.9357081900878,1724263160275.0,7.0,-114,-11,-93,
1.0,7.0,-103.57978755855734,35.17261905803751,1202.9357081900878,1724263160275.0,7.0,-106,-10,-87,
1.0,7.0,-103.57939047749306,35.17262661211073,1202.908527737108,1724263161281.0,7.0,-100,-12,-69,
1.0,7.0,-103.57939047749306,35.17262661211073,1202.908527737108,1724263161281.0,7.0,-114,-11,-93,
1.0,7.0,-103.57939047749306,35.17262661211073,1202.908527737108,1724263161281.0,7.0,-106,-10,-87,
1.0,7.0,-103.57899439420568,35.17263414720224,1202.881415582595,1724263162283.0,7.0,-101,-13,-67,
1.0,7.0,-103.57899439420568,35.17263414720224,1202.881415582595,1724263162283.0,7.0,-112,-12,-91,
